"protein","entry_name","description","family","expression_tissue","gene_symbol"
"P07307","ASGR2_HUMAN","Asialoglycoprotein receptor 2","Other TMPs","Adrenal\BAT\Brain\Liver\MAT\SCAT\Spleen","ASGR2"
"P07333","CSF1R_HUMAN","Macrophage colony-stimulating factor 1 receptor","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CSF1R"
"P07357","CO8A_HUMAN","Complement component C8 alpha chain","Other TMPs","Adrenal\BAT\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","C8A"
"P07359","GP1BA_HUMAN","Platelet glycoprotein Ib alpha chain","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Thymus\Tongue\Urinary","GP1BA"
"P07550","ADRB2_HUMAN","Beta-2 adrenergic receptor","GPCR","BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary","ADRB2"
"P07766","CD3E_HUMAN","T-cell surface glycoprotein CD3 epsilon chain","Other TMPs","Adrenal\BAT\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus","CD3E"
"P07949","RET_HUMAN","Proto-oncogene tyrosine-protein kinase receptor Ret","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Tongue\Urinary","RET"
"P08034","CXB1_HUMAN","Gap junction beta-1 protein","Other TMPs","BAT\Brain\Kidney\Liver\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Tongue\Urinary","GJB1"
"P08100","OPSD_HUMAN","Rhodopsin","GPCR","Adrenal\Eye\Urinary","RHO"
"P08138","TNR16_HUMAN","Tumor necrosis factor receptor superfamily member 16","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NGFR"
"P08172","ACM2_HUMAN","Muscarinic acetylcholine receptor M2","GPCR","Brain\Eye\Heart\Lung\MAT\Prostate\Small\Spleen\Stomach\Urinary","CHRM2"
"P08195","4F2_HUMAN","Amino acid transporter heavy chain SLC3A2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC3A2"
"P08247","SYPH_HUMAN","Synaptophysin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SYP"
"P08473","NEP_HUMAN","Neprilysin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MME"
"P08514","ITA2B_HUMAN","Integrin alpha-IIb","Catalytic receptors","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITGA2B"
"P08574","CY1_HUMAN","Cytochrome c1, heme protein, mitochondrial","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CYC1"
"P08575","PTPRC_HUMAN","Receptor-type tyrosine-protein phosphatase C","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PTPRC"
"P08588","ADRB1_HUMAN","Beta-1 adrenergic receptor","GPCR","BAT\Brain\Eye\GAT\Heart\Kidney\Lung\MAT\Pancreas\Spleen\Thymus","ADRB1"
"P08648","ITA5_HUMAN","Integrin alpha-5","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITGA5"
"P08887","IL6RA_HUMAN","Interleukin-6 receptor subunit alpha","Catalytic receptors","Adrenal\BAT\Brain\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","IL6R"
"P08910","ABHD2_HUMAN","Monoacylglycerol lipase ABHD2","Other TMPs","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","ABHD2"
"P08913","ADA2A_HUMAN","Alpha-2A adrenergic receptor","GPCR","Adrenal\BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","ADRA2A"
"P08962","CD63_HUMAN","CD63 antigen","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CD63"
"P08F94","PKHD1_HUMAN","Fibrocystin","Other TMPs","Brain\GAT\Kidney\Lung\MAT\Pancreas\Prostate\Testis\Urinary","PKHD1"
"P09131","P3_HUMAN","P3 protein","Transporter","Adrenal\BAT\Lung\Pancreas\Prostate\Skin\Stomach\Testis\Thymus\Urinary","SLC10A3"
"P09172","DOPO_HUMAN","Dopamine beta-hydroxylase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","DBH"
"P09601","HMOX1_HUMAN","Heme oxygenase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","HMOX1"
"P09603","CSF1_HUMAN","Macrophage colony-stimulating factor 1","Other TMPs","Adrenal\GAT\Heart\Kidney\Lung\MAT\SCAT\Skin\Spleen\Stomach\Thymus\Urinary","CSF1"
"P09619","PGFRB_HUMAN","Platelet-derived growth factor receptor beta","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PDGFRB"
"P09669","COX6C_HUMAN","Cytochrome c oxidase subunit 6C","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","COX6C"
"P09693","CD3G_HUMAN","T-cell surface glycoprotein CD3 gamma chain","Other TMPs","Adrenal\BAT\GAT\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","CD3G"
"P09758","TACD2_HUMAN","Tumor-associated calcium signal transducer 2","Other TMPs","Adrenal\Eye\Kidney\Lung\Pancreas\Prostate\Skin\Small\Stomach\Thymus\Tongue\Urinary","TACSTD2"
"P09958","FURIN_HUMAN","Furin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FURIN"
"P0C6S8","LIGO3_HUMAN","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3","Other TMPs","Adrenal\Brain\Eye\Heart\Muscle\Small","LINGO3"
"P0C7M8","CLC2L_HUMAN","C-type lectin domain family 2 member L","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue","CLEC2L"
"P0C7U0","ELFN1_HUMAN","Protein ELFN1","Other TMPs","BAT\Brain\Eye\Heart\Kidney\Lung\Muscle\SCAT\Skin\Spleen\Stomach","ELFN1"
"P0C851","PIRT_HUMAN","Phosphoinositide-interacting protein","Other TMPs","Adrenal\BAT\Brain\Heart\MAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Urinary","PIRT"
"P0CK96","S352B_HUMAN","Solute carrier family 35 member E2B","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Small\Spleen\Stomach\Testis\Thymus\Urinary","SLC35E2B"
"P0DJ07","PT100_HUMAN","Protein PET100 homolog, mitochondrial","Other TMPs","Adrenal\BAT\Eye\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary","PET100"
"P0DKB5","TPBGL_HUMAN","Trophoblast glycoprotein-like","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TPBGL"
"P0DPA2","VSIG8_HUMAN","V-set and immunoglobulin domain-containing protein 8","Other TMPs","Skin\Stomach\Thymus\Tongue","VSIG8"
"P0DPD6","ECE2_HUMAN","Endothelin-converting enzyme 2","Other TMPs","Adrenal\BAT\Brain\Eye\Heart\MAT\Pancreas\Prostate\SCAT\Skin\Stomach\Tongue\Urinary","ECE2"
"P0DTE4","UD2A1_HUMAN","UDP-glucuronosyltransferase 2A1","Other TMPs","BAT\Brain\Eye\GAT\Heart\Liver\MAT\Prostate\SCAT\Skin\Thymus\Tongue\Urinary","UGT2A1"
"P0DTE5","UD2A2_HUMAN","UDP-glucuronosyltransferase 2A2","Other TMPs","Brain\Eye\GAT\Thymus","UGT2A2"
"P10176","COX8A_HUMAN","Cytochrome c oxidase subunit 8A, mitochondrial","Other TMPs","BAT\Brain\Eye\Stomach\Thymus","COX8A"
"P10415","BCL2_HUMAN","Apoptosis regulator Bcl-2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","BCL2"
"P10586","PTPRF_HUMAN","Receptor-type tyrosine-protein phosphatase F","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PTPRF"
"P10620","MGST1_HUMAN","Microsomal glutathione S-transferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MGST1"
"P10721","KIT_HUMAN","Mast/stem cell growth factor receptor Kit","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","KIT"
"P10747","CD28_HUMAN","T-cell-specific surface glycoprotein CD28","Other TMPs","Lung\MAT\SCAT\Small\Spleen\Thymus","CD28"
"P10912","GHR_HUMAN","Growth hormone receptor","Catalytic receptors","Adrenal\BAT\Brain\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GHR"
"P11049","CD37_HUMAN","Leukocyte antigen CD37","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CD37"
"P11117","PPAL_HUMAN","Lysosomal acid phosphatase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ACP2"
"P11166","GTR1_HUMAN","Solute carrier family 2, facilitated glucose transporter member 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC2A1"
"P11168","GTR2_HUMAN","Solute carrier family 2, facilitated glucose transporter member 2","Transporter","Adrenal\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Small\Spleen","SLC2A2"
"P11229","ACM1_HUMAN","Muscarinic acetylcholine receptor M1","GPCR","Adrenal\Brain\Eye\Pancreas\Prostate\Small\Stomach\Urinary","CHRM1"
"P11230","ACHB_HUMAN","Acetylcholine receptor subunit beta","Ion-channels","Lung\Muscle\Skin\Thymus\Tongue","CHRNB1"
"P11279","LAMP1_HUMAN","Lysosome-associated membrane glycoprotein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LAMP1"
"P11362","FGFR1_HUMAN","Fibroblast growth factor receptor 1","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FGFR1"
"P11717","MPRI_HUMAN","Cation-independent mannose-6-phosphate receptor","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","IGF2R"
"P11836","CD20_HUMAN","B-lymphocyte antigen CD20","Other TMPs","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Thymus\Urinary","MS4A1"
"P11912","CD79A_HUMAN","B-cell antigen receptor complex-associated protein alpha chain","Other TMPs","GAT\Lung\MAT\Pancreas\SCAT\Small\Spleen\Thymus","CD79A"
"P12074","CX6A1_HUMAN","Cytochrome c oxidase subunit 6A1, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","COX6A1"
"P12235","ADT1_HUMAN","ADP/ATP translocase 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC25A4"
"P12314","FCGR1_HUMAN","High affinity immunoglobulin gamma Fc receptor I","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FCGR1A"
"P12821","ACE_HUMAN","Angiotensin-converting enzyme","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ACE"
"P13073","COX41_HUMAN","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","COX4I1"
"P13224","GP1BB_HUMAN","Platelet glycoprotein Ib beta chain","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GP1BB"
"P13473","LAMP2_HUMAN","Lysosome-associated membrane glycoprotein 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LAMP2"
"P13569","CFTR_HUMAN","Cystic fibrosis transmembrane conductance regulator","Ion-channels","Brain\GAT\Kidney\Lung\Pancreas\Small\Stomach\Testis\Thymus","CFTR"
"P13598","ICAM2_HUMAN","Intercellular adhesion molecule 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ICAM2"
"P13637","AT1A3_HUMAN","Sodium/potassium-transporting ATPase subunit alpha-3/K ATPase alpha-3 subunit/K ATPase alpha subunit","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP1A3"
"P13945","ADRB3_HUMAN","Beta-3 adrenergic receptor","GPCR","Adrenal\BAT\GAT\Kidney\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","ADRB3"
"P14151","LYAM1_HUMAN","L-selectin","Other TMPs","Lung\MAT\SCAT\Spleen\Thymus","SELL"
"P14222","PERF_HUMAN","Perforin-1","Other TMPs","Lung\SCAT\Skin\Spleen","PRF1"
"P14406","CX7A2_HUMAN","Cytochrome c oxidase subunit 7A2, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","COX7A2"
"P14415","AT1B2_HUMAN","Sodium/potassium-transporting ATPase subunit beta-2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP1B2"
"P14616","INSRR_HUMAN","Insulin receptor-related protein","Catalytic receptors","Kidney\Pancreas\Stomach\Testis","INSRR"
"P14672","GLUT4_HUMAN","Solute carrier family 2, facilitated glucose transporter member 4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC2A4"
"P14770","GPIX_HUMAN","Platelet glycoprotein IX","Other TMPs","Adrenal\Lung\SCAT\Skin\Spleen\Tongue","GP9"
"P14778","IL1R1_HUMAN","Interleukin-1 receptor type 1","Catalytic receptors","Adrenal\BAT\GAT\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","IL1R1"
"P14784","IL2RB_HUMAN","Interleukin-2 receptor subunit beta","Catalytic receptors","Lung\MAT\SCAT\Small\Spleen\Thymus","IL2RB"
"P14867","GBRA1_HUMAN","Gamma-aminobutyric acid receptor subunit alpha-1 receptor subunit alpha-1","Ion-channels","Brain\Eye\Spleen\Stomach\Thymus","GABRA1"
"P15144","AMPN_HUMAN","Aminopeptidase N","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ANPEP"
"P15260","INGR1_HUMAN","Interferon gamma receptor 1","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","IFNGR1"
"P15291","B4GT1_HUMAN","Beta-1,4-galactosyltransferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","B4GALT1"
"P15391","CD19_HUMAN","B-lymphocyte antigen CD19","Other TMPs","Lung\MAT\Muscle\Pancreas\SCAT\Small\Spleen\Thymus","CD19"
"P15907","SIAT1_HUMAN","Beta-galactoside alpha-2,6-sialyltransferase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ST6GAL1"
"P15954","COX7C_HUMAN","Cytochrome c oxidase subunit 7C, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","COX7C"
"P16066","ANPRA_HUMAN","Atrial natriuretic peptide receptor 1","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NPR1"
"P16109","LYAM3_HUMAN","P-selectin","Other TMPs","BAT\GAT\Liver\Lung\MAT\SCAT\Skin\Spleen\Stomach","SELP"
"P16144","ITB4_HUMAN","Integrin beta-4","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITGB4"
"P16150","LEUK_HUMAN","Leukosialin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SPN"
"P16234","PGFRA_HUMAN","Platelet-derived growth factor receptor alpha","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PDGFRA"
"P16260","GDC_HUMAN","Solute carrier family 25 member 16","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC25A16"
"P16284","PECA1_HUMAN","Platelet endothelial cell adhesion molecule","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PECAM1"
"P16389","KCNA2_HUMAN","Potassium voltage-gated channel subfamily A member 2 channel HuKIV","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary","KCNA2"
"P16422","EPCAM_HUMAN","Epithelial cell adhesion molecule","Other TMPs","Adrenal\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","EPCAM"
"P16435","NCPR_HUMAN","NADPH--cytochrome P450 reductase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","POR"
"P16471","PRLR_HUMAN","Prolactin receptor","Catalytic receptors","Adrenal\GAT\Liver\Lung\MAT\Prostate\Skin\Small\Testis\Urinary","PRLR"
"P16473","TSHR_HUMAN","Thyrotropin receptor","GPCR","Adrenal\BAT\Eye\GAT\MAT\SCAT","TSHR"
"P16615","AT2A2_HUMAN","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2-ATPase 2 ATPase","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP2A2"
"P16671","CD36_HUMAN","Platelet glycoprotein 4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CD36"
"P16871","IL7RA_HUMAN","Interleukin-7 receptor subunit alpha","Catalytic receptors","Lung\MAT\SCAT\Skin\Spleen\Thymus","IL7R"
"P17152","TMM11_HUMAN","Transmembrane protein 11, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM11"
"P17301","ITA2_HUMAN","Integrin alpha-2","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITGA2"
"P17342","ANPRC_HUMAN","Atrial natriuretic peptide receptor 3","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NPR3"
"P17658","KCNA6_HUMAN","Potassium voltage-gated channel subfamily A member 6","Ion-channels","Brain\Eye\Stomach","KCNA6"
"P17813","EGLN_HUMAN","Endoglin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ENG"
"P18089","ADA2B_HUMAN","Alpha-2B adrenergic receptor","GPCR","Brain\Kidney\Liver\Small\Spleen","ADRA2B"
"P18433","PTPRA_HUMAN","Receptor-type tyrosine-protein phosphatase alpha","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PTPRA"
"P18507","GBRG2_HUMAN","Gamma-aminobutyric acid receptor subunit gamma-2 receptor subunit gamma-2","Ion-channels","Brain\Eye\Lung","GABRG2"
"P18564","ITB6_HUMAN","Integrin beta-6","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITGB6"
"P18627","LAG3_HUMAN","Lymphocyte activation gene 3 protein","Other TMPs","Brain\MAT\SCAT\Skin\Small\Spleen\Thymus","LAG3"
