"protein","entry_name","description","family","gene_symbol","expression_tissue"
"O14828","SCAM3_HUMAN","Secretory carrier-associated membrane protein 3","Transporter","SCAMP3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14836","TR13B_HUMAN","Tumor necrosis factor receptor superfamily member 13B","Catalytic receptors","TNFRSF13B","MAT\SCAT\SmallIntestine\Spleen\thymus"
"O14842","FFAR1_HUMAN","Free fatty acid receptor 1","GPCR","FFAR1",""
"O14843","FFAR3_HUMAN","Free fatty acid receptor 3","GPCR","FFAR3",""
"O14863","ZNT4_HUMAN","Probable proton-coupled zinc antiporter SLC30A4","Transporter","SLC30A4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O14880","MGST3_HUMAN","Glutathione S-transferase 3, mitochondrial","Other TMPs","MGST3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14894","T4S5_HUMAN","Transmembrane 4 L6 family member 5","Other TMPs","TM4SF5",""
"O14917","PCD17_HUMAN","Protocadherin-17","Other TMPs","PCDH17",""
"O14925","TIM23_HUMAN","Mitochondrial import inner membrane translocase subunit Tim23","Other TMPs","TIMM23",""
"O14931","NCTR3_HUMAN","Natural cytotoxicity triggering receptor 3","Other TMPs","NCR3",""
"O14944","EREG_HUMAN","Proepiregulin","Other TMPs","EREG","skin\SmallIntestine"
"O14949","QCR8_HUMAN","Cytochrome b-c1 complex subunit 8","Transporter","UQCRQ","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14957","QCR10_HUMAN","Cytochrome b-c1 complex subunit 10","Transporter","UQCR11","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14967","CLGN_HUMAN","Calmegin","Other TMPs","CLGN","Ad\brain\eye\GAT\lung\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue"
"O14975","S27A2_HUMAN","Long-chain fatty acid transport protein 2","Other TMPs","SLC27A2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14983","AT2A1_HUMAN","Sarcoplasmic/endoplasmic reticulum calcium ATPase 1-ATPase 1 ATPase","Transporter","ATP2A1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15031","PLXB2_HUMAN","Plexin-B2","Other TMPs","PLXNB2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15079","SNPH_HUMAN","Syntaphilin","Other TMPs","SNPH","brain\eye\Pancreas"
"O15118","NPC1_HUMAN","NPC intracellular cholesterol transporter 1","Transporter","NPC1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15120","PLCB_HUMAN","1-acyl-sn-glycerol-3-phosphate acyltransferase beta","Other TMPs","AGPAT2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15121","DEGS1_HUMAN","Sphingolipid delta-desaturase DES1","Other TMPs","DEGS1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15126","SCAM1_HUMAN","Secretory carrier-associated membrane protein 1","Transporter","SCAMP1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15127","SCAM2_HUMAN","Secretory carrier-associated membrane protein 2","Transporter","SCAMP2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15146","MUSK_HUMAN","Muscle, skeletal receptor tyrosine-protein kinase","Catalytic receptors","MUSK","BAT\Muscle\Pancreas\skin\thymus\tongue"
"O15155","BET1_HUMAN","BET1 homolog","Other TMPs","BET1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15162","PLS1_HUMAN","Phospholipid scramblase 1-dependent phospholipid scramblase 1","Other TMPs","PLSCR1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15165","LRAD4_HUMAN","Low-density lipoprotein receptor class A domain-containing protein 4","Other TMPs","LDLRAD4","Ad\brain\eye\GAT\Kidney\lung\MAT\prostate\SCAT\Spleen\thymus\tongue\Ub"
"O15173","PGRC2_HUMAN","Membrane-associated progesterone receptor component 2","Other TMPs","PGRMC2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15197","EPHB6_HUMAN","Ephrin type-B receptor 6","Catalytic receptors","EPHB6","Ad\brain\eye\GAT\lung\MAT\prostate\SCAT\skin\Spleen\testis\thymus\Ub"
"O15218","GP182_HUMAN","G-protein coupled receptor 182","GPCR","GPR182",""
"O15229","KMO_HUMAN","Kynurenine 3-monooxygenase","Other TMPs","KMO","Ad\BAT\eye\GAT\Kidney\liver\lung\MAT\Muscle\Pancreas\SCAT\skin\SmallIntestine\Spleen\thymus\tongue\Ub"
"O15239","NDUA1_HUMAN","NADH dehydrogenase 1 alpha subcomplex subunit 1","Transporter","NDUFA1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15243","OBRG_HUMAN","Leptin receptor gene-related protein","Other TMPs","LEPROT","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15244","S22A2_HUMAN","Solute carrier family 22 member 2","Transporter","SLC22A2","Ad\brain\eye\GAT\Kidney\Muscle\Pancreas\Spleen"
"O15245","S22A1_HUMAN","Solute carrier family 22 member 1","Transporter","SLC22A1","Ad\BAT\brain\GAT\Kidney\liver\MAT\Muscle\Pancreas\prostate\SCAT\SmallIntestine\Spleen\Stomach\tongue\Ub"
"O15247","CLIC2_HUMAN","Chloride intracellular channel protein 2","Ion-channels","CLIC2",""
"O15258","RER1_HUMAN","Protein RER1","Other TMPs","RER1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15260","SURF4_HUMAN","Surfeit locus protein 4","Transporter","SURF4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15269","SPTC1_HUMAN","Serine palmitoyltransferase 1","Other TMPs","SPTLC1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15270","SPTC2_HUMAN","Serine palmitoyltransferase 2","Other TMPs","SPTLC2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15303","GRM6_HUMAN","Metabotropic glutamate receptor 6","GPCR","GRM6","eye"
"O15321","TM9S1_HUMAN","Transmembrane 9 superfamily member 1","Other TMPs","TM9SF1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15342","VA0E1_HUMAN","V-type proton ATPase subunit e 1","Other TMPs","ATP6V0E1",""
"O15354","GPR37_HUMAN","Prosaposin receptor GPR37","GPCR","GPR37","brain\eye\skin\Stomach\testis"
"O15374","MOT5_HUMAN","Monocarboxylate transporter 5","Transporter","SLC16A4","eye\Kidney\testis\Ub"
"O15375","MOT6_HUMAN","Monocarboxylate transporter 6","Other TMPs","SLC16A5","Kidney\Pancreas\SmallIntestine\Stomach\thymus"
"O15389","SIGL5_HUMAN","Sialic acid-binding Ig-like lectin 5","Other TMPs","SIGLEC5",""
"O15393","TMPS2_HUMAN","Transmembrane protease serine 2","Other TMPs","TMPRSS2","Kidney\lung\prostate\SmallIntestine\Stomach\thymus\Ub"
"O15394","NCAM2_HUMAN","Neural cell adhesion molecule 2","Other TMPs","NCAM2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O15399","NMDE4_HUMAN","Glutamate receptor ionotropic, NMDA 2D","Ion-channels","GRIN2D","brain"
"O15400","STX7_HUMAN","Syntaxin-7","Other TMPs","STX7",""
"O15403","MOT7_HUMAN","Monocarboxylate transporter 7","Transporter","SLC16A6","brain\eye\Kidney\MAT\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus"
"O15427","MOT4_HUMAN","Monocarboxylate transporter 4","Transporter","SLC16A3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15431","COPT1_HUMAN","High affinity copper uptake protein 1","Transporter","SLC31A1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15432","COPT2_HUMAN","Protein SLC31A2","Transporter","SLC31A2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15438","MRP3_HUMAN","ATP-binding cassette sub-family C member 3","Transporter","ABCC3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15439","MRP4_HUMAN","ATP-binding cassette sub-family C member 4","Transporter","ABCC4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15440","MRP5_HUMAN","ATP-binding cassette sub-family C member 5","Transporter","ABCC5","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15455","TLR3_HUMAN","Toll-like receptor 3","Catalytic receptors","TLR3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15466","SIA8E_HUMAN","Alpha-2,8-sialyltransferase 8E","Other TMPs","ST8SIA5","Ad\brain\eye\Kidney\Muscle\skin\thymus\tongue"
"O15482","TEX28_HUMAN","Testis-specific protein TEX28","Other TMPs","TEX28",""
"O15503","INSI1_HUMAN","Insulin-induced gene 1 protein","Other TMPs","INSIG1","Ad\BAT\brain\eye\Kidney\liver\Pancreas\SCAT\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O15529","GPR42_HUMAN","G-protein coupled receptor 42","GPCR","GPR42",""
"O15533","TPSN_HUMAN","Tapasin","Other TMPs","TAPBP","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O15547","P2RX6_HUMAN","P2X purinoceptor 6","Ion-channels","P2RX6",""
"O15551","CLD3_HUMAN","Claudin-3","Other TMPs","CLDN3","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O15552","FFAR2_HUMAN","Free fatty acid receptor 2","GPCR","FFAR2","GAT\MAT\SCAT\skin\SmallIntestine\Spleen\thymus"
"O15554","KCNN4_HUMAN","Intermediate conductance calcium-activated potassium channel protein 4","Ion-channels","KCNN4","GAT\MAT\prostate\SCAT\SmallIntestine\Spleen\Stomach\thymus\Ub"
"O43155","FLRT2_HUMAN","Leucine-rich repeat transmembrane protein FLRT2","Other TMPs","FLRT2","Ad\BAT\brain\eye\GAT\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43157","PLXB1_HUMAN","Plexin-B1","Other TMPs","PLXNB1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43169","CYB5B_HUMAN","Cytochrome b5 type B","Transporter","CYB5B","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43173","SIA8C_HUMAN","Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3","Other TMPs","ST8SIA3","Ad\brain\eye\testis"
"O43184","ADA12_HUMAN","Disintegrin and metalloproteinase domain-containing protein 12","Other TMPs","ADAM12","Ad\BAT\GAT\MAT\SCAT\skin\thymus"
"O43193","MTLR_HUMAN","Motilin receptor","GPCR","MLNR",""
"O43194","GPR39_HUMAN","G-protein coupled receptor 39","GPCR","GPR39",""
"O43246","CTR4_HUMAN","Cationic amino acid transporter 4","Transporter","SLC7A4","Ad\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O43286","B4GT5_HUMAN","Beta-1,4-galactosyltransferase 5","Other TMPs","B4GALT5","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43291","SPIT2_HUMAN","Kunitz-type protease inhibitor 2","Other TMPs","SPINT2","Ad\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O43292","GPAA1_HUMAN","GPI-anchor transamidase component GPAA1","Other TMPs","GPAA1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43300","LRRT2_HUMAN","Leucine-rich repeat transmembrane neuronal protein 2","Other TMPs","LRRTM2","brain\eye"
"O43306","ADCY6_HUMAN","Adenylate cyclase type 6-inhibitable adenylyl cyclase","Other TMPs","ADCY6",""
"O43315","AQP9_HUMAN","Aquaporin-9","Transporter","AQP9","Ad\BAT\eye\GAT\liver\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O43424","GRID2_HUMAN","Glutamate receptor ionotropic, delta-2","Ion-channels","GRID2","brain\eye"
"O43451","MGA_HUMAN","Maltase-glucoamylase","Other TMPs","MGAM",""
"O43462","MBTP2_HUMAN","Membrane-bound transcription factor site-2 protease","Other TMPs","MBTPS2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43464","HTRA2_HUMAN","Serine protease HTRA2, mitochondrial","Other TMPs","HTRA2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43490","PROM1_HUMAN","Prominin-1","Other TMPs","PROM1",""
"O43493","TGON2_HUMAN","Trans-Golgi network integral membrane protein 2","Other TMPs","TGOLN2",""
"O43505","B4GA1_HUMAN","Beta-1,4-glucuronyltransferase 1","Other TMPs","B4GAT1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43508","TNF12_HUMAN","Tumor necrosis factor ligand superfamily member 12","Other TMPs","TNFSF12","Ad\lung\prostate\SCAT\skin\Spleen\Stomach\Ub"
"O43511","S26A4_HUMAN","Pendrin","Transporter","SLC26A4","Ad\eye\Kidney\lung\prostate\Ub"
"O43520","AT8B1_HUMAN","Phospholipid-transporting ATPase IC","Transporter","ATP8B1","Ad\BAT\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43525","KCNQ3_HUMAN","Potassium voltage-gated channel subfamily KQT member 3","Ion-channels","KCNQ3","brain"
"O43526","KCNQ2_HUMAN","Potassium voltage-gated channel subfamily KQT member 2","Ion-channels","KCNQ2",""
"O43529","CHSTA_HUMAN","Carbohydrate sulfotransferase 10","Other TMPs","CHST10","brain\eye"
"O43556","SGCE_HUMAN","Epsilon-sarcoglycan","Other TMPs","SGCE","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43557","TNF14_HUMAN","Tumor necrosis factor ligand superfamily member 14","Other TMPs","TNFSF14","GAT\lung\SCAT\Spleen\thymus"
"O43561","LAT_HUMAN","Linker for activation of T-cells family member 1","Other TMPs","LAT","BAT\GAT\heart\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus"
"O43567","RNF13_HUMAN","E3 ubiquitin-protein ligase RNF13","Other TMPs","RNF13","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43570","CAH12_HUMAN","Carbonic anhydrase 12","Other TMPs","CA12",""
"O43581","SYT7_HUMAN","Synaptotagmin-7","Other TMPs","SYT7","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43603","GALR2_HUMAN","Galanin receptor type 2","GPCR","GALR2","MAT\SmallIntestine\thymus"
"O43613","OX1R_HUMAN","Orexin/Hypocretin receptor type 1","GPCR","HCRTR1",""
"O43614","OX2R_HUMAN","Orexin receptor type 2","GPCR","HCRTR2",""
"O43657","TSN6_HUMAN","Tetraspanin-6","Other TMPs","TSPAN6",""
"O43674","NDUB5_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 5, mitochondrial","Transporter","NDUFB5","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43676","NDUB3_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 3","Transporter","NDUFB3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43677","NDUC1_HUMAN","NADH dehydrogenase 1 subunit C1, mitochondrial","Transporter","NDUFC1","BAT\eye\Muscle\tongue"
"O43688","PLPP2_HUMAN","Phospholipid phosphatase 2","Other TMPs","PLPP2","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O43699","SIGL6_HUMAN","Sialic acid-binding Ig-like lectin 6","Other TMPs","SIGLEC6",""
"O43731","ERD23_HUMAN","ER lumen protein-retaining receptor 3","Transporter","KDELR3","BAT\GAT\heart\Kidney\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Stomach\thymus\Ub"
"O43736","ITM2A_HUMAN","Integral membrane protein 2A","Other TMPs","ITM2A","Ad\BAT\brain\eye\GAT\heart\lung\MAT\Muscle\prostate\SCAT\skin\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43752","STX6_HUMAN","Syntaxin-6","Transporter","STX6","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43759","SNG1_HUMAN","Synaptogyrin-1","Other TMPs","SYNGR1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43760","SNG2_HUMAN","Synaptogyrin-2","Other TMPs","SYNGR2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43761","SNG3_HUMAN","Synaptogyrin-3","Other TMPs","SYNGR3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43772","MCAT_HUMAN","Mitochondrial carnitine/acylcarnitine carrier protein","Transporter","SLC25A20","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43808","PM34_HUMAN","Peroxisomal membrane protein PMP34","Transporter","SLC25A17","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43819","SCO2_HUMAN","Protein SCO2 homolog, mitochondrial","Other TMPs","SCO2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43825","B3GT2_HUMAN","Beta-1,3-galactosyltransferase 2","Other TMPs","B3GALT2","Ad\BAT\brain\eye\GAT\MAT\prostate\SCAT\skin\Spleen\thymus\Ub"
"O43826","G6PT1_HUMAN","Glucose-6-phosphate exchanger SLC37A4","Other TMPs","SLC37A4",""
"O43861","ATP9B_HUMAN","Probable phospholipid-transporting ATPase IIB","Other TMPs","ATP9B",""
"O43868","S28A2_HUMAN","Sodium/nucleoside cotransporter 2/nucleoside cotransporter 2","Other TMPs","SLC28A2","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O43889","CREB3_HUMAN","Cyclic AMP-responsive element-binding protein 3","Other TMPs","CREB3",""
"O43908","NKG2F_HUMAN","NKG2-F type II integral membrane protein","Other TMPs","KLRC4",""
"O43909","EXTL3_HUMAN","Exostosin-like 3","Other TMPs","EXTL3",""
"O43914","TYOBP_HUMAN","TYRO protein tyrosine kinase-binding protein","Other TMPs","TYROBP","Ad\GAT\lung\MAT\SCAT\Spleen\thymus"
"O43916","CHST1_HUMAN","Carbohydrate sulfotransferase 1","Other TMPs","CHST1","Ad\BAT\brain\eye\GAT\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\Ub"
"O43934","MFS11_HUMAN","UNC93-like protein MFSD11","Other TMPs","MFSD11","Ad\SCAT\skin"
"O60235","TM11D_HUMAN","Transmembrane protease serine 11D","Other TMPs","TMPRSS11D","eye\Spleen\thymus\tongue"
"O60238","BNI3L_HUMAN","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like","Other TMPs","BNIP3L","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O60241","AGRB2_HUMAN","Adhesion G protein-coupled receptor B2","GPCR","ADGRB2","Ad\brain\eye"
"O60242","AGRB3_HUMAN","Adhesion G protein-coupled receptor B3","GPCR","ADGRB3","Ad\brain\eye"
"O60243","H6ST1_HUMAN","Heparan-sulfate 6-O-sulfotransferase 1","Other TMPs","HS6ST1","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O60245","PCDH7_HUMAN","Protocadherin-7","Other TMPs","PCDH7",""
"O60266","ADCY3_HUMAN","Adenylate cyclase type 3","Other TMPs","ADCY3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O60279","SUSD5_HUMAN","Sushi domain-containing protein 5","Other TMPs","SUSD5",""
"O60312","AT10A_HUMAN","Phospholipid-transporting ATPase VA","Transporter","ATP10A","Ad\GAT\lung\MAT\prostate\SCAT\skin\Spleen\Stomach\testis\thymus\tongue\Ub"
"O60313","OPA1_HUMAN","Dynamin-like GTPase OPA1, mitochondrial","Other TMPs","OPA1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O60320","EREP2_HUMAN","Protein ENTREP2","Other TMPs","ENTREP2","brain\eye\prostate"
"O60330","PCDGC_HUMAN","Protocadherin gamma-A12","Other TMPs","PCDHGA12",""
"O60337","MARH6_HUMAN","E3 ubiquitin-protein ligase MARCHF6","Other TMPs","MARCHF6","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
